NPROC P=0.80
1      1.00000000000000000000
2      1.66666666666666666666
4      2.50000000000000000000
8      3.33333333333333333333
16     4.00000000000000000000
32     4.44444444444444444444
64     4.70588235294117647058
128    4.84848484848484848484
256    4.92307692307692307692
512    4.96124031007751937984
1024   4.98054474708171206225
2048   4.99025341130604288499
4096   4.99512195121951219512
8192   4.99755978526110297706
16384  4.99877959482548206004
32768  4.99938972293421213230
65536  4.99969484284406469331
