NPROC P=0.90
1      1.00000000000000000000
2      1.81818181818181818181
4      3.07692307692307692307
8      4.70588235294117647058
16     6.40000000000000000000
32     7.80487804878048780487
64     8.76712328767123287671
128    9.34306569343065693430
256    9.66037735849056603773
512    9.82725527831094049904
1024   9.91287512100677637947
2048   9.95624696159455517744
4096   9.97807551766138855054
8192   9.98902572856968662358
16384  9.99450985176599768193
32768  9.99725417213289806876
65536  9.99862689755130063315
